"hero","mini1","mini2","mini3","mini4","mini5","classes","sum","deck_cost","is_available","score"
"natureborn","barbarian","archer","wizard","villager","公主","clan4,mage2,ranger2,specialist2",10,19,FALSE,14.9
"natureborn","barbarian","archer","wizard","villager","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,19,FALSE,14.9
"grand warden","barbarian","archer","wizard","villager","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,19,FALSE,13.4
"natureborn","barbarian","archer","wizard","hog rider","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,19,FALSE,14.9
"natureborn","barbarian","archer","wizard","valkyrie","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,19,FALSE,13.7
"natureborn","barbarian","archer","wizard","healing ranger","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,19,FALSE,15.1
"natureborn","barbarian","archer","wizard","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,17,FALSE,14.9
"natureborn","barbarian","archer","wizard","giant","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,20,FALSE,13.8
"natureborn","barbarian","archer","wizard","witch","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,19,FALSE,15.3
"barbarian king","barbarian","archer","musketeer","hog rider","prince","clan4,ranger2,rider2,royal2",10,18,TRUE,12.6
"barbarian king","barbarian","archer","musketeer","hog rider","dark prince","clan4,ranger2,rider2,royal2",10,18,FALSE,12.8
"royal champion","barbarian","archer","musketeer","prince","dark prince","clan2,ranger2,rider2,royal4",10,19,FALSE,13.3
"wave master","barbarian","archer","musketeer","prince","sailor","clan2,ranger2,rider2,royal2,sea2",10,18,FALSE,13.2
"sheld maiden","barbarian","archer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,19,FALSE,13.4
"barbarian king","barbarian","archer","musketeer","witch","皇家幽灵","clan4,ranger2,royal2,undead2",10,18,FALSE,13.4
"countess","barbarian","archer","musketeer","magic archer","公主","clan2,ranger4,rogue2,royal2",10,20,FALSE,13.5
"wave master","barbarian","archer","musketeer","dark prince","sailor","clan2,ranger2,rider2,royal2,sea2",10,18,FALSE,13.4
"natureborn","barbarian","archer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,21,FALSE,15.5
"monk","barbarian","archer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,21,FALSE,14
"战争机器","barbarian","archer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,21,FALSE,14.100000000000001
"wave master","barbarian","archer","swordman","幻术大师","飞斧屠夫","clan2,ranger2,rogue2,sea2,specialist2",10,18,FALSE,13.4
"barbarian king","barbarian","archer","villager","healing ranger","战斗拳手","clan4,ranger2,saint2,specialist2",10,19,FALSE,13.2
"barbarian king","barbarian","archer","villager","幻术大师","magic archer","clan4,ranger2,rogue2,specialist2",10,17,FALSE,13
"skeleton king","barbarian","archer","villager","witch","飞斧屠夫","clan4,ranger2,specialist2,undead2",10,19,FALSE,13.7
"barbarian king","barbarian","archer","hog rider","prince","公主","clan4,ranger2,rider2,royal2",10,20,FALSE,13.2
"barbarian king","barbarian","archer","hog rider","dark prince","公主","clan4,ranger2,rider2,royal2",10,20,FALSE,13.4
"sheld maiden","barbarian","archer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,19,FALSE,13.4
"countess","barbarian","archer","prince","magic archer","dark prince","clan2,ranger2,rider2,rogue2,royal2",10,20,FALSE,13.5
"royal champion","barbarian","archer","prince","dark prince","公主","clan2,ranger2,rider2,royal4",10,21,FALSE,13.9
"natureborn","barbarian","archer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,15.5
"monk","barbarian","archer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,14
"战争机器","barbarian","archer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,14.1
"wave master","barbarian","archer","prince","sailor","公主","clan2,ranger2,rider2,royal2,sea2",10,20,FALSE,13.8
"natureborn","barbarian","archer","healing ranger","ice wizard","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,18,FALSE,13.9
"countess","barbarian","archer","healing ranger","幻术大师","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,13.5
"natureborn","barbarian","archer","healing ranger","electro wizard","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,14
"natureborn","barbarian","archer","healing ranger","战斗拳手","风暴法师","clan2,mage2,ranger2,saint2,specialist2",10,19,FALSE,14.1
"natureborn","barbarian","archer","healing ranger","战斗拳手","狱塔护法","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,14.1
"archer queen","barbarian","archer","healing ranger","战斗拳手","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,13.9
"natureborn","barbarian","archer","ice wizard","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,16,FALSE,13.7
"natureborn","barbarian","archer","幻术大师","magic archer","electro wizard","clan2,mage2,ranger2,rogue2,specialist2",10,18,FALSE,13.8
"sheld maiden","barbarian","archer","幻术大师","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,19,FALSE,13.8
"natureborn","barbarian","archer","幻术大师","magic archer","风暴法师","clan2,mage2,ranger2,rogue2,specialist2",10,17,FALSE,13.9
"natureborn","barbarian","archer","幻术大师","magic archer","狱塔护法","clan2,mage2,ranger2,rogue2,specialist2",10,19,FALSE,13.9
"archer queen","barbarian","archer","幻术大师","magic archer","飞斧屠夫","clan2,ranger4,rogue2,specialist2",10,19,FALSE,13.7
"barbarian king","barbarian","archer","witch","皇家幽灵","公主","clan4,ranger2,royal2,undead2",10,20,FALSE,14
"wave master","barbarian","archer","dark prince","sailor","公主","clan2,ranger2,rider2,royal2,sea2",10,20,FALSE,14
"natureborn","barbarian","knight","wizard","musketeer","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,19,FALSE,13.700000000000001
"natureborn","barbarian","knight","wizard","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,14.3
"natureborn","barbarian","royal recruit","wizard","musketeer","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,19,FALSE,13.700000000000001
"natureborn","barbarian","royal recruit","wizard","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,14.3
"natureborn","barbarian","bowler","wizard","dart golbin","飞斧屠夫","clan2,goblin2,mage2,ranger2,specialist2",10,20,FALSE,13.9
"natureborn","barbarian","battle healer","golden giant","wizard","villager","clan4,mage2,saint2,specialist2",10,19,TRUE,12.9
"natureborn","barbarian","battle healer","wizard","villager","healing ranger","clan4,mage2,saint2,specialist2",10,19,TRUE,14.5
"natureborn","barbarian","battle healer","wizard","villager","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,14.9
"grand warden","barbarian","battle healer","wizard","villager","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,13.4
"natureborn","barbarian","battle healer","wizard","hog rider","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,14.9
"natureborn","barbarian","battle healer","wizard","valkyrie","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,13.7
"natureborn","barbarian","battle healer","wizard","healing ranger","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,15.1
"natureborn","barbarian","battle healer","wizard","giant","战斗拳手","clan4,mage2,saint2,specialist2",10,22,FALSE,13.8
"natureborn","barbarian","battle healer","wizard","witch","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,15.3
"skeleton king","barbarian","battle healer","musketeer","healing ranger","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,13.5
"archer queen","barbarian","battle healer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,13.3
"natureborn","barbarian","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,15.5
"monk","barbarian","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,14
"战争机器","barbarian","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,14.100000000000001
"royal champion","barbarian","battle healer","musketeer","战斗拳手","飞斧屠夫","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,13.9
"wave master","barbarian","battle healer","swordman","healing ranger","magic archer","clan2,ranger2,rogue2,saint2,sea2",10,20,TRUE,13.2
"wave master","barbarian","battle healer","swordman","幻术大师","战斗拳手","clan2,rogue2,saint2,sea2,specialist2",10,20,FALSE,13.4
"barbarian king","barbarian","battle healer","villager","healing ranger","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,13.2
"skeleton king","barbarian","battle healer","villager","witch","战斗拳手","clan4,saint2,specialist2,undead2",10,21,FALSE,13.7
"archer queen","barbarian","battle healer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,13.299999999999999
"natureborn","barbarian","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,15.5
"monk","barbarian","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,14
"战争机器","barbarian","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,14.1
"natureborn","barbarian","battle healer","healing ranger","ice wizard","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,13.9
"natureborn","barbarian","battle healer","healing ranger","幻术大师","magic archer","clan2,ranger2,rogue2,saint2,specialist2",10,19,FALSE,15.1
"monk","barbarian","battle healer","healing ranger","幻术大师","magic archer","clan2,ranger2,rogue2,saint2,specialist2",10,19,FALSE,13.6
"战争机器","barbarian","battle healer","healing ranger","幻术大师","magic archer","clan2,ranger2,rogue2,saint2,specialist2",10,19,FALSE,13.7
"countess","barbarian","battle healer","healing ranger","幻术大师","飞斧屠夫","clan2,ranger2,rogue2,saint2,specialist2",10,20,FALSE,13.5
"natureborn","barbarian","battle healer","healing ranger","electro wizard","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,14
"skeleton king","barbarian","battle healer","healing ranger","皇家幽灵","公主","clan2,ranger2,royal2,saint2,undead2",10,22,FALSE,14.1
"sheld maiden","barbarian","battle healer","healing ranger","战斗拳手","飞斧屠夫","clan2,ranger2,saint4,specialist2",10,23,FALSE,14
"natureborn","barbarian","battle healer","healing ranger","风暴法师","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,14.1
"natureborn","barbarian","battle healer","healing ranger","狱塔护法","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,23,FALSE,14.1
"archer queen","barbarian","battle healer","幻术大师","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,21,FALSE,13.7
"sheld maiden","barbarian","battle healer","幻术大师","magic archer","飞斧屠夫","clan2,ranger2,rogue2,saint2,specialist2",10,21,FALSE,13.8
"countess","barbarian","battle healer","magic archer","战斗拳手","飞斧屠夫","clan2,ranger2,rogue2,saint2,specialist2",10,24,FALSE,14.1
"royal champion","barbarian","battle healer","公主","战斗拳手","飞斧屠夫","clan2,ranger2,royal2,saint2,specialist2",10,25,FALSE,14.5
"natureborn","barbarian","golden giant","wizard","healing ranger","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,13.9
"natureborn","barbarian","wizard","musketeer","villager","公主","clan2,mage2,ranger2,royal2,specialist2",10,20,FALSE,15.100000000000001
"natureborn","barbarian","wizard","musketeer","prince","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,15.3
"natureborn","barbarian","wizard","musketeer","healing ranger","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,15.3
"natureborn","barbarian","wizard","musketeer","PEKKA","公主","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,13.9
"natureborn","barbarian","wizard","musketeer","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,18,FALSE,15.1
"natureborn","barbarian","wizard","musketeer","幻术大师","公主","clan2,mage2,ranger2,royal2,specialist2",10,19,FALSE,15.3
"natureborn","barbarian","wizard","musketeer","mega knight","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,14
"natureborn","barbarian","wizard","musketeer","dark prince","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,15.5
"natureborn","barbarian","wizard","musketeer","皇家幽灵","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,15.700000000000001
"natureborn","barbarian","wizard","musketeer","公主","战斗拳手","clan2,mage2,ranger2,royal2,specialist2",10,22,FALSE,15.700000000000001
"natureborn","barbarian","wizard","musketeer","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,22,FALSE,15.700000000000001
"natureborn","barbarian","wizard","musketeer","公主","扫地小僧","clan2,mage2,ranger2,royal2,specialist2",10,20,FALSE,14.100000000000001
"natureborn","barbarian","wizard","giant skeleton","villager","witch","clan4,mage2,specialist2,undead2",10,18,TRUE,13.6
"natureborn","barbarian","wizard","swordman","fishman","幻术大师","clan2,mage2,rogue2,sea2,specialist2",10,17,FALSE,13.5
"natureborn","barbarian","wizard","swordman","幻术大师","sailor","clan2,mage2,rogue2,sea2,specialist2",10,17,FALSE,15.1
"natureborn","barbarian","wizard","swordman","幻术大师","鲨网猎手","clan2,mage2,rogue2,sea2,specialist2",10,18,FALSE,13.7
"natureborn","barbarian","wizard","swordman","magic archer","飞斧屠夫","clan2,mage2,ranger2,rogue2,specialist2",10,21,FALSE,15.5
"natureborn","barbarian","wizard","villager","hog rider","prince","clan4,mage2,rider2,specialist2",10,19,TRUE,14.7
"natureborn","barbarian","wizard","villager","hog rider","dark prince","clan4,mage2,rider2,specialist2",10,19,FALSE,14.9
"natureborn","barbarian","wizard","villager","hog rider","sailor","clan4,mage2,rider2,specialist2",10,18,FALSE,14.9
"natureborn","barbarian","wizard","villager","prince","dark prince","clan2,mage2,rider2,royal2,specialist2",10,20,FALSE,15.1
"natureborn","barbarian","wizard","villager","骨犬","witch","clan4,mage2,specialist2,undead2",10,18,FALSE,13.7
"natureborn","barbarian","wizard","villager","witch","皇家幽灵","clan4,mage2,specialist2,undead2",10,19,FALSE,15.5
"natureborn","barbarian","wizard","prince","PEKKA","dark prince","clan2,mage2,rider2,royal2,specialist2",10,21,FALSE,13.9
"natureborn","barbarian","wizard","prince","幻术大师","dark prince","clan2,mage2,rider2,royal2,specialist2",10,19,FALSE,15.3
"natureborn","barbarian","wizard","prince","dark prince","战斗拳手","clan2,mage2,rider2,royal2,specialist2",10,22,FALSE,15.7
"natureborn","barbarian","wizard","prince","dark prince","飞斧屠夫","clan2,mage2,rider2,royal2,specialist2",10,22,FALSE,15.7
"natureborn","barbarian","wizard","prince","dark prince","扫地小僧","clan2,mage2,rider2,royal2,specialist2",10,20,FALSE,14.1
"natureborn","barbarian","wizard","prince","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,23,FALSE,15.9
"natureborn","barbarian","wizard","dart golbin","healing ranger","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,15.5
"natureborn","barbarian","wizard","dart golbin","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,18,FALSE,15.3
"natureborn","barbarian","wizard","healing ranger","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,18,FALSE,15.3
"natureborn","barbarian","wizard","healing ranger","magic archer","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,15.7
"natureborn","barbarian","wizard","healing ranger","公主","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,15.9
"natureborn","barbarian","wizard","healing ranger","战斗拳手","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,15.9
"grand warden","barbarian","wizard","healing ranger","战斗拳手","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,14.4
"natureborn","barbarian","wizard","幻术大师","magic archer","公主","clan2,mage2,ranger2,rogue2,specialist2",10,20,FALSE,15.7
"natureborn","barbarian","wizard","幻术大师","magic archer","飞斧屠夫","clan2,mage2,ranger2,rogue2,specialist2",10,20,FALSE,15.7
"grand warden","barbarian","wizard","幻术大师","magic archer","飞斧屠夫","clan2,mage2,ranger2,rogue2,specialist2",10,20,FALSE,14.2
"natureborn","barbarian","wizard","mega knight","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,23,FALSE,14.600000000000001
"natureborn","barbarian","wizard","magic archer","bandit","飞斧屠夫","clan2,mage2,ranger2,rogue2,specialist2",10,22,FALSE,14.4
"natureborn","barbarian","wizard","magic archer","飞斧屠夫","英雄猎手","clan2,mage2,ranger2,rogue2,specialist2",10,21,FALSE,14.5
"natureborn","barbarian","wizard","dark prince","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,23,FALSE,16.1
"natureborn","barbarian","wizard","皇家幽灵","公主","飞斧屠夫","clan2,mage2,ranger2,royal2,specialist2",10,23,FALSE,16.3
"royal champion","barbarian","musketeer","villager","healing ranger","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,20,FALSE,13.7
"natureborn","barbarian","musketeer","villager","ice wizard","公主","clan2,mage2,ranger2,royal2,specialist2",10,19,FALSE,13.9
"royal champion","barbarian","musketeer","villager","幻术大师","magic archer","clan2,ranger2,rogue2,royal2,specialist2",10,18,FALSE,13.5
"countess","barbarian","musketeer","villager","幻术大师","公主","clan2,ranger2,rogue2,royal2,specialist2",10,19,FALSE,13.5
"natureborn","barbarian","musketeer","villager","electro wizard","公主","clan2,mage2,ranger2,royal2,specialist2",10,21,FALSE,14
"skeleton king","barbarian","musketeer","villager","皇家幽灵","飞斧屠夫","clan2,ranger2,royal2,specialist2,undead2",10,21,FALSE,14.100000000000001
"sheld maiden","barbarian","musketeer","villager","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,14
"natureborn","barbarian","musketeer","villager","公主","风暴法师","clan2,mage2,ranger2,royal2,specialist2",10,20,FALSE,14.100000000000001
"natureborn","barbarian","musketeer","villager","公主","狱塔护法","clan2,mage2,ranger2,royal2,specialist2",10,22,FALSE,14.100000000000001
"archer queen","barbarian","musketeer","villager","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,22,FALSE,13.9
"sheld maiden","barbarian","musketeer","hog rider","prince","healing ranger","clan2,ranger2,rider2,royal2,saint2",10,19,TRUE,13.2
"countess","barbarian","musketeer","hog rider","prince","magic archer","clan2,ranger2,rider2,rogue2,royal2",10,20,FALSE,13.3
"royal champion","barbarian","musketeer","hog rider","prince","公主","clan2,ranger2,rider2,royal4",10,21,FALSE,13.7
"natureborn","barbarian","musketeer","hog rider","prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,15.3
"monk","barbarian","musketeer","hog rider","prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,13.8
"战争机器","barbarian","musketeer","hog rider","prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,13.9
"sheld maiden","barbarian","musketeer","hog rider","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,19,FALSE,13.4
"countess","barbarian","musketeer","hog rider","magic archer","dark prince","clan2,ranger2,rider2,rogue2,royal2",10,20,FALSE,13.5
"royal champion","barbarian","musketeer","hog rider","dark prince","公主","clan2,ranger2,rider2,royal4",10,21,FALSE,13.9
"natureborn","barbarian","musketeer","hog rider","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,15.5
"monk","barbarian","musketeer","hog rider","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,14
"战争机器","barbarian","musketeer","hog rider","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,21,FALSE,14.100000000000001
"wave master","barbarian","musketeer","hog rider","sailor","公主","clan2,ranger2,rider2,royal2,sea2",10,20,FALSE,13.8
"barbarian king","barbarian","musketeer","prince","dark prince","公主","clan2,ranger2,rider2,royal4",10,22,FALSE,13.8
"sheld maiden","barbarian","musketeer","healing ranger","witch","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,19,FALSE,14
"countess","barbarian","musketeer","witch","magic archer","皇家幽灵","clan2,ranger2,rogue2,royal2,undead2",10,20,FALSE,14.1
"royal champion","barbarian","musketeer","witch","皇家幽灵","公主","clan2,ranger2,royal4,undead2",10,21,FALSE,14.5
"natureborn","barbarian","musketeer","witch","皇家幽灵","飞斧屠夫","clan2,ranger2,royal2,specialist2,undead2",10,21,FALSE,16.1
"monk","barbarian","musketeer","witch","皇家幽灵","飞斧屠夫","clan2,ranger2,royal2,specialist2,undead2",10,21,FALSE,14.600000000000001
"战争机器","barbarian","musketeer","witch","皇家幽灵","飞斧屠夫","clan2,ranger2,royal2,specialist2,undead2",10,21,FALSE,14.700000000000001
"wave master","barbarian","swordman","villager","magic archer","飞斧屠夫","clan2,ranger2,rogue2,sea2,specialist2",10,21,FALSE,13.8
"natureborn","barbarian","swordman","hog rider","幻术大师","sailor","clan2,rider2,rogue2,sea2,specialist2",10,17,FALSE,15.1
"monk","barbarian","swordman","hog rider","幻术大师","sailor","clan2,rider2,rogue2,sea2,specialist2",10,17,FALSE,13.6
"战争机器","barbarian","swordman","hog rider","幻术大师","sailor","clan2,rider2,rogue2,sea2,specialist2",10,17,FALSE,13.7
"archer queen","barbarian","swordman","hog rider","magic archer","sailor","clan2,ranger2,rider2,rogue2,sea2",10,19,FALSE,13.5
"natureborn","barbarian","villager","prince","ice wizard","dark prince","clan2,mage2,rider2,royal2,specialist2",10,19,FALSE,13.9
"countess","barbarian","villager","prince","幻术大师","dark prince","clan2,rider2,rogue2,royal2,specialist2",10,19,FALSE,13.5
"natureborn","barbarian","villager","prince","electro wizard","dark prince","clan2,mage2,rider2,royal2,specialist2",10,21,FALSE,14
"sheld maiden","barbarian","villager","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,22,FALSE,14
"natureborn","barbarian","villager","prince","dark prince","风暴法师","clan2,mage2,rider2,royal2,specialist2",10,20,FALSE,14.1
"natureborn","barbarian","villager","prince","dark prince","狱塔护法","clan2,mage2,rider2,royal2,specialist2",10,22,FALSE,14.1
"archer queen","barbarian","villager","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,22,FALSE,13.9
"sheld maiden","barbarian","villager","healing ranger","幻术大师","magic archer","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,13.6
"countess","barbarian","villager","healing ranger","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,21,FALSE,13.9
"royal champion","barbarian","villager","healing ranger","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,14.3
"natureborn","barbarian","villager","healing ranger","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,22,FALSE,15.9
"monk","barbarian","villager","healing ranger","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,22,FALSE,14.4
"战争机器","barbarian","villager","healing ranger","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,22,FALSE,14.5
"royal champion","barbarian","villager","幻术大师","magic archer","公主","clan2,ranger2,rogue2,royal2,specialist2",10,20,FALSE,14.1
"natureborn","barbarian","villager","幻术大师","magic archer","飞斧屠夫","clan2,ranger2,rogue2,specialist4",10,20,FALSE,15.7
"monk","barbarian","villager","幻术大师","magic archer","飞斧屠夫","clan2,ranger2,rogue2,specialist4",10,20,FALSE,14.2
"战争机器","barbarian","villager","幻术大师","magic archer","飞斧屠夫","clan2,ranger2,rogue2,specialist4",10,20,FALSE,14.3
"skeleton king","barbarian","villager","皇家幽灵","公主","飞斧屠夫","clan2,ranger2,royal2,specialist2,undead2",10,23,FALSE,14.700000000000001
"sheld maiden","barbarian","hog rider","prince","healing ranger","公主","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,13.8
"barbarian king","barbarian","hog rider","prince","witch","皇家幽灵","clan4,rider2,royal2,undead2",10,20,FALSE,13.8
"countess","barbarian","hog rider","prince","magic archer","公主","clan2,ranger2,rider2,rogue2,royal2",10,22,FALSE,13.9
